rat_id,study_day,condition,treatment,trial_num,rem_start,rem_end,state,num_epochs,mean_duration,total_duration,percent_of_rem
4,3,CON,3,5,5534,5542,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,5534,5542,tonic,1,8.0,8.0,100.0
4,3,CON,3,5,5562,5582,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,5562,5582,tonic,1,20.0,20.0,100.0
4,3,CON,3,5,5657,5693,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,5657,5693,tonic,1,36.0,36.0,100.0
4,3,CON,3,5,5777,5818,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,5777,5818,tonic,1,41.0,41.0,100.0
4,3,CON,3,5,7237,7278,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,7237,7278,tonic,1,41.0,41.0,100.0
4,3,CON,3,5,8563,8591,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,8563,8591,tonic,1,28.0,28.0,100.0
4,3,CON,3,5,8676,8780,phasic,3,3.0459999999996703,9.13799999999901,8.78653846153751
4,3,CON,3,5,8676,8780,tonic,4,23.715500000000247,94.86200000000099,91.2134615384625
4,3,CON,3,5,9241,9249,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,9241,9249,tonic,1,8.0,8.0,100.0
4,3,CON,3,5,9649,9657,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,9649,9657,tonic,1,8.0,8.0,100.0
3,5,CON,3,4,689,736,phasic,0,0.0,0.0,0.0
3,5,CON,3,4,689,736,tonic,1,47.0,47.0,100.0
3,5,CON,3,4,1358,1423,phasic,2,2.230999999999881,4.461999999999762,6.864615384615018
3,5,CON,3,4,1358,1423,tonic,3,20.179333333333414,60.53800000000024,93.135384615385
3,5,CON,3,4,1444,1570,phasic,3,2.0220000000000105,6.066000000000031,4.814285714285739
3,5,CON,3,4,1444,1570,tonic,4,29.983499999999992,119.93399999999997,95.18571428571427
3,5,CON,3,4,2119,2271,phasic,5,2.6960000000000037,13.480000000000018,8.868421052631591
3,5,CON,3,4,2119,2271,tonic,6,23.086666666666662,138.51999999999998,91.13157894736841
3,5,CON,3,1,1714,1723,phasic,0,0.0,0.0,0.0
3,5,CON,3,1,1714,1723,tonic,1,9.0,9.0,100.0
3,5,CON,3,1,1900,1985,phasic,0,0.0,0.0,0.0
3,5,CON,3,1,1900,1985,tonic,1,85.0,85.0,100.0
3,5,CON,3,1,2449,2454,phasic,2,0.6310000000000855,1.262000000000171,25.24000000000342
3,5,CON,3,1,2449,2454,tonic,2,1.8689999999999145,3.737999999999829,74.75999999999658
